rr,win_rate,edge_pct,risk,funded_risk,ev_per_trade,eval_pass_rate,eval_days_med,p_payout_given_funded,days_to_first_payout,mean_payouts_per_acct,p_reach_live,cash_per_funded_acct,evals_per_payout,fees_to_first_payout,ev_per_eval_$
0.33,0.7519,-2.0,150.0,150.0,-3.99,0.0147,62.0,0.0367,83.7,0.06,0.0008,30.0,1844.8,784246.0,-425.0
0.33,0.7439,-2.0,250.0,250.0,-6.65,0.0688,35.0,0.094,35.5,0.16,0.0022,107.0,154.7,38948.0,-244.0
0.33,0.7394,-2.0,400.0,400.0,-10.64,0.1231,18.0,0.1585,16.6,0.25,0.0027,208.0,51.2,9100.0,-152.0
0.33,0.7719,0.0,150.0,150.0,-0.0,0.1126,64.0,0.2807,96.6,0.86,0.0905,432.0,31.6,17530.0,-506.0
0.33,0.7639,0.0,250.0,250.0,-0.0,0.2531,38.0,0.304,36.5,0.76,0.054,568.0,13.0,3959.0,-161.0
0.33,0.7594,0.0,400.0,400.0,0.0,0.2751,18.0,0.3075,17.3,0.66,0.0283,656.0,11.8,2222.0,-8.0
0.33,0.7919,2.0,150.0,150.0,3.99,0.4283,60.0,0.777,78.8,3.49,0.6208,1774.0,3.0,1752.0,177.0
0.33,0.7839,2.0,250.0,250.0,6.65,0.5621,36.0,0.6058,34.5,2.3,0.3312,1846.0,2.9,940.0,718.0
0.33,0.7794,2.0,400.0,400.0,10.64,0.4739,17.0,0.5115,16.4,1.57,0.1633,1729.0,4.1,792.0,627.0
0.33,0.7779,2.0,500.0,200.0,13.3,0.4442,13.0,0.671,50.4,2.75,0.4437,1849.0,3.4,583.0,648.0
0.33,0.8119,4.0,150.0,150.0,7.98,0.8267,52.0,0.963,53.7,4.75,0.9395,2440.0,1.3,609.0,1532.0
0.33,0.8039,4.0,250.0,250.0,13.3,0.834,29.0,0.846,27.9,3.89,0.715,3230.0,1.4,409.0,2405.0
0.33,0.7994,4.0,400.0,400.0,21.28,0.6869,15.0,0.7007,15.1,2.75,0.4183,3194.0,2.1,389.0,2007.0
0.33,0.7979,4.0,500.0,200.0,26.6,0.6336,12.0,0.9107,38.4,4.37,0.8377,2980.0,1.7,298.0,1716.0
0.33,0.8319,6.0,150.0,150.0,11.97,0.9812,40.0,0.998,37.5,4.98,0.9958,2571.0,1.0,379.0,2151.0
0.33,0.8239,6.0,250.0,250.0,19.95,0.9553,23.0,0.9627,22.0,4.71,0.9177,3952.0,1.1,261.0,3534.0
0.33,0.8194,6.0,400.0,400.0,31.92,0.8539,13.0,0.8492,13.0,3.83,0.6893,4610.0,1.4,241.0,3761.0
0.5,0.6644,-2.0,150.0,150.0,-4.5,0.0381,51.0,0.0653,56.9,0.11,0.002,64.0,402.0,144003.0,-356.0
0.5,0.6573,-2.0,250.0,250.0,-7.5,0.1069,24.0,0.1437,24.5,0.23,0.0027,180.0,65.1,13672.0,-191.0
0.5,0.6533,-2.0,400.0,400.0,-12.0,0.1546,13.0,0.188,11.9,0.29,0.004,275.0,34.4,5680.0,-123.0
0.5,0.6844,0.0,150.0,150.0,-0.0,0.188,53.0,0.3048,64.4,0.82,0.0688,533.0,17.5,7766.0,-345.0
0.5,0.6773,0.0,250.0,250.0,0.0,0.2604,27.0,0.31,24.9,0.72,0.0395,659.0,12.4,2939.0,-66.0
0.5,0.6733,0.0,400.0,400.0,0.0,0.2717,13.0,0.303,12.1,0.57,0.0227,614.0,12.1,2041.0,-1.0
0.5,0.7044,2.0,150.0,150.0,4.5,0.4975,51.0,0.657,57.5,2.63,0.4128,1790.0,3.1,1442.0,419.0
0.5,0.6973,2.0,250.0,250.0,7.5,0.4884,26.0,0.532,24.3,1.74,0.204,1749.0,3.8,958.0,605.0
0.5,0.6933,2.0,400.0,400.0,12.0,0.4305,13.0,0.466,11.9,1.31,0.1318,1606.0,5.0,847.0,521.0
0.5,0.692,2.0,500.0,200.0,15.0,0.3965,10.0,0.5887,35.6,2.15,0.2935,1794.0,4.3,693.0,550.0
0.5,0.7244,4.0,150.0,150.0,9.0,0.8226,43.0,0.889,44.2,4.24,0.8067,2957.0,1.4,567.0,2018.0
0.5,0.7173,4.0,250.0,250.0,15.0,0.7378,23.0,0.747,21.8,3.09,0.5038,3260.0,1.8,430.0,2168.0
0.5,0.7133,4.0,400.0,400.0,24.0,0.5996,12.0,0.628,11.3,2.27,0.3468,2971.0,2.7,447.0,1613.0
0.5,0.712,4.0,500.0,200.0,30.0,0.5487,10.0,0.8125,29.3,3.61,0.639,3112.0,2.2,362.0,1546.0
0.5,0.7444,6.0,150.0,150.0,13.5,0.964,34.0,0.9785,32.8,4.85,0.961,3391.0,1.1,355.0,2935.0
0.5,0.7373,6.0,250.0,250.0,22.5,0.8762,19.0,0.8895,18.1,4.15,0.7748,4471.0,1.3,271.0,3706.0
0.5,0.7333,6.0,400.0,400.0,36.0,0.7428,11.0,0.7555,10.3,3.18,0.5607,4273.0,1.8,291.0,3011.0
0.75,0.5667,-2.0,150.0,150.0,-5.25,0.0739,38.0,0.105,38.6,0.17,0.0013,118.0,128.9,36702.0,-276.0
0.75,0.5606,-2.0,250.0,250.0,-8.75,0.1295,18.0,0.1613,17.0,0.24,0.0037,211.0,47.9,8727.0,-155.0
0.75,0.5571,-2.0,400.0,400.0,-14.0,0.1784,9.0,0.1895,10.2,0.29,0.0025,330.0,29.6,4597.0,-97.0
0.75,0.5867,0.0,150.0,150.0,0.0,0.2318,41.0,0.2903,42.3,0.7,0.0457,567.0,14.9,5028.0,-207.0
0.75,0.5806,0.0,250.0,250.0,0.0,0.2609,19.0,0.293,17.5,0.61,0.027,628.0,13.1,2534.0,-30.0
0.75,0.5771,0.0,400.0,400.0,0.0,0.2714,9.0,0.2642,10.4,0.51,0.024,636.0,13.9,2190.0,15.0
0.75,0.6067,2.0,150.0,150.0,5.25,0.5121,39.0,0.5887,40.2,2.11,0.2752,1847.0,3.3,1194.0,586.0
0.75,0.6006,2.0,250.0,250.0,8.75,0.4582,18.0,0.4733,16.9,1.36,0.1375,1565.0,4.6,907.0,521.0
0.75,0.5971,2.0,400.0,400.0,14.0,0.4089,9.0,0.3995,10.3,1.01,0.095,1366.0,6.1,963.0,401.0
0.75,0.596,2.0,500.0,200.0,17.5,0.3866,8.0,0.5212,23.8,1.66,0.1885,1671.0,5.0,775.0,490.0
0.75,0.6267,4.0,150.0,150.0,10.5,0.7844,35.0,0.805,33.5,3.6,0.6322,3259.0,1.6,523.0,2226.0
0.75,0.6206,4.0,250.0,250.0,17.5,0.6414,16.0,0.658,15.7,2.48,0.372,3032.0,2.4,457.0,1752.0
0.75,0.6171,4.0,400.0,400.0,28.0,0.5261,8.0,0.5208,9.8,1.74,0.2557,2465.0,3.6,569.0,1141.0
0.75,0.616,4.0,500.0,200.0,35.0,0.4821,7.0,0.719,21.5,2.89,0.4532,3056.0,2.9,450.0,1318.0
0.75,0.6467,6.0,150.0,150.0,15.75,0.9253,28.0,0.9333,27.0,4.52,0.8722,4146.0,1.2,328.0,3554.0
0.75,0.6406,6.0,250.0,250.0,26.25,0.7956,14.0,0.7927,14.1,3.48,0.617,4375.0,1.6,290.0,3298.0
0.75,0.6371,6.0,400.0,400.0,42.0,0.6579,8.0,0.6577,9.4,2.61,0.448,3774.0,2.3,359.0,2328.0
1.0,0.4933,-2.0,150.0,150.0,-6.0,0.0906,33.0,0.1138,30.4,0.18,0.0015,132.0,97.0,23888.0,-234.0
1.0,0.488,-2.0,250.0,250.0,-10.0,0.153,15.0,0.16,13.7,0.23,0.0013,215.0,40.8,6909.0,-136.0
1.0,0.485,-2.0,400.0,400.0,-16.0,0.203,6.0,0.1462,10.2,0.2,0.0015,285.0,33.7,5195.0,-96.0
