edge,scheme,symbol,trades,avg_r,win_rate,t_stat
divergence,bracket_1.5atr_2R_24h,BTCUSDT,1474,-0.0085,0.4057,-0.2193
divergence,bracket_1.5atr_2R_24h,ETHUSDT,1371,-0.0094,0.3902,-0.2378
divergence,bracket_1.5atr_2R_24h,SOLUSDT,1363,-0.025,0.3661,-0.6363
divergence,bracket_1atr_2R_8h,BTCUSDT,1474,-0.1492,0.3976,-3.8828
divergence,bracket_1atr_2R_8h,ETHUSDT,1371,-0.1289,0.3807,-3.269
divergence,bracket_1atr_2R_8h,SOLUSDT,1363,-0.1031,0.3617,-2.6462
divergence,horizon_24h,BTCUSDT,1474,0.8416,0.5237,3.3696
divergence,horizon_24h,ETHUSDT,1371,0.5889,0.5018,2.1495
divergence,horizon_24h,SOLUSDT,1363,0.3473,0.5114,1.4657
divergence,horizon_4h,BTCUSDT,1474,0.1821,0.4885,1.8822
divergence,horizon_4h,ETHUSDT,1371,0.0945,0.4639,0.9493
divergence,horizon_4h,SOLUSDT,1363,-0.0397,0.4637,-0.4169
momentum,bracket_1.5atr_2R_24h,BTCUSDT,2262,-0.0086,0.4107,-0.2751
momentum,bracket_1.5atr_2R_24h,ETHUSDT,2148,0.0054,0.399,0.1691
momentum,bracket_1.5atr_2R_24h,SOLUSDT,2000,-0.0291,0.366,-0.8981
momentum,bracket_1atr_2R_8h,BTCUSDT,2262,-0.2559,0.3691,-8.3315
momentum,bracket_1atr_2R_8h,ETHUSDT,2148,-0.1632,0.3734,-5.1787
momentum,bracket_1atr_2R_8h,SOLUSDT,2000,-0.1633,0.3435,-5.1278
momentum,horizon_24h,BTCUSDT,2262,1.7104,0.5225,6.6632
momentum,horizon_24h,ETHUSDT,2148,0.5584,0.4842,2.1221
momentum,horizon_24h,SOLUSDT,2000,0.7848,0.515,3.5203
momentum,horizon_4h,BTCUSDT,2262,0.4064,0.4872,4.3279
momentum,horizon_4h,ETHUSDT,2148,0.2067,0.453,2.0178
momentum,horizon_4h,SOLUSDT,2000,-0.1445,0.454,-1.6272
