edge,scheme,year,trades,avg_r,win_rate,t_stat
divergence,bracket_1.5atr_2R_24h,2021,414,0.05,0.3889,0.6968
divergence,bracket_1.5atr_2R_24h,2022,843,0.0661,0.4045,1.2961
divergence,bracket_1.5atr_2R_24h,2023,849,-0.0762,0.3757,-1.5261
divergence,bracket_1.5atr_2R_24h,2024,886,-0.0011,0.3894,-0.023
divergence,bracket_1.5atr_2R_24h,2025,790,0.1087,0.4367,2.0483
divergence,bracket_1.5atr_2R_24h,2026,426,-0.3661,0.284,-5.5615
divergence,bracket_1atr_2R_8h,2021,414,0.0073,0.3986,0.1026
divergence,bracket_1atr_2R_8h,2022,843,-0.0955,0.376,-1.9093
divergence,bracket_1atr_2R_8h,2023,849,-0.2276,0.3616,-4.6247
divergence,bracket_1atr_2R_8h,2024,886,-0.1041,0.3837,-2.1162
divergence,bracket_1atr_2R_8h,2025,790,-0.0274,0.4228,-0.5156
divergence,bracket_1atr_2R_8h,2026,426,-0.3581,0.3239,-5.2507
divergence,horizon_24h,2021,414,0.6786,0.5314,1.6642
divergence,horizon_24h,2022,843,0.8784,0.5575,2.4953
divergence,horizon_24h,2023,849,1.0665,0.4935,3.1223
divergence,horizon_24h,2024,886,-0.1743,0.4571,-0.5855
divergence,horizon_24h,2025,790,0.9771,0.5291,2.6589
divergence,horizon_24h,2026,426,-0.0544,0.5282,-0.1443
divergence,horizon_4h,2021,414,0.2735,0.5338,1.4711
divergence,horizon_4h,2022,843,0.0651,0.4757,0.5193
divergence,horizon_4h,2023,849,-0.1174,0.4217,-1.0331
divergence,horizon_4h,2024,886,0.0238,0.474,0.2012
divergence,horizon_4h,2025,790,0.5545,0.5165,4.053
divergence,horizon_4h,2026,426,-0.4312,0.4225,-2.2767
momentum,bracket_1.5atr_2R_24h,2021,621,0.0542,0.3881,0.926
momentum,bracket_1.5atr_2R_24h,2022,1095,0.1439,0.4311,3.1914
momentum,bracket_1.5atr_2R_24h,2023,1368,-0.0163,0.4079,-0.4066
momentum,bracket_1.5atr_2R_24h,2024,1429,0.0078,0.394,0.2014
momentum,bracket_1.5atr_2R_24h,2025,1329,-0.0335,0.3913,-0.8331
momentum,bracket_1.5atr_2R_24h,2026,568,-0.3548,0.2887,-6.1793
momentum,bracket_1atr_2R_8h,2021,621,-0.0663,0.3688,-1.1477
momentum,bracket_1atr_2R_8h,2022,1095,-0.0795,0.3817,-1.8009
momentum,bracket_1atr_2R_8h,2023,1368,-0.2635,0.3648,-6.692
momentum,bracket_1atr_2R_8h,2024,1429,-0.1082,0.3863,-2.8001
momentum,bracket_1atr_2R_8h,2025,1329,-0.2584,0.3491,-6.5246
momentum,bracket_1atr_2R_8h,2026,568,-0.474,0.2852,-8.3245
momentum,horizon_24h,2021,621,1.3733,0.5024,3.5725
momentum,horizon_24h,2022,1095,1.2898,0.5708,3.5887
momentum,horizon_24h,2023,1368,1.3988,0.5058,3.9914
momentum,horizon_24h,2024,1429,0.385,0.4598,1.4629
momentum,horizon_24h,2025,1329,1.3546,0.5064,3.6867
momentum,horizon_24h,2026,568,0.1916,0.5158,0.5875
momentum,horizon_4h,2021,621,0.6215,0.5072,3.1568
momentum,horizon_4h,2022,1095,0.1679,0.4977,1.3032
momentum,horizon_4h,2023,1368,0.2468,0.4466,2.0958
momentum,horizon_4h,2024,1429,0.1638,0.4612,1.4251
momentum,horizon_4h,2025,1329,0.1409,0.4771,1.1892
momentum,horizon_4h,2026,568,-0.4477,0.3856,-2.2666
